		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 639.984375	M = 327680	N = 8	m = 9	n = 2621440
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111011100  628  595  654  625  623  648  675  648  6.838387 0.554166 SUCCESS 131
111100000  618  687  640  660  632  601  618  665  9.352781 0.313415 SUCCESS 132
111100010  678  653  625  661  625  635  686  606  9.377831 0.311432 SUCCESS 133
111100100  642  613  629  621  635  614  616  662  4.805256 0.778173 SUCCESS 134
111100110  643  642  676  619  670  622  639  625  5.172528 0.738987 SUCCESS 135
111101000  616  626  631  632  693  575  625  645 13.250256 0.103524 SUCCESS 136
111101010  608  621  627  658  630  614  598  630  7.295054 0.505159 SUCCESS 137
111101100  628  662  613  655  624  645  649  634  3.199498 0.921221 SUCCESS 138
111101110  660  638  614  649  610  638  666  633  4.508488 0.808583 SUCCESS 139
111110000  628  698  640  653  626  630  637  641  6.438842 0.598199 SUCCESS 140
111110010  624  658  619  613  610  648  623  641  4.850710 0.773407 SUCCESS 141
111110100  635  650  648  639  617  593  588  637  9.111064 0.333014 SUCCESS 142
111110110  608  632  607  657  610  682  663  634  9.202680 0.325488 SUCCESS 143
111111000  696  667  614  639  625  636  685  644 11.033033 0.199834 SUCCESS 144
111111010  620  667  635  643  639  558  622  609 14.818640 0.062769 SUCCESS 145
111111100  662  650  601  583  604  624  640  615 12.164195 0.144027 SUCCESS 146
111111110  650  632  586  649  596  617  641  632  9.191670 0.326386 SUCCESS 147

