		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 63.984375	M = 32768	N = 8	m = 9	n = 262144
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110010000   52   60   63   75   55   71   69   71  7.856597 0.447602 SUCCESS 101
110010010   59   62   70   68   60   80   64   62  5.776294 0.672274 SUCCESS 102
110010100   57   56   44   74   54   69   61   53 14.006092 0.081607 SUCCESS 103
110011000   58   71   67   70   71   67   46   77 11.013668 0.200926 SUCCESS 104
110011010   53   59   70   75   69   56   47   68 11.257102 0.187553 SUCCESS 105
110100000   60   68   62   61   60   68   81   78  9.095991 0.334263 SUCCESS 106
110100010   65   63   73   60   67   74   62   57  4.222759 0.836487 SUCCESS 107
110100100   73   77   65   60   58   60   61   63  5.319729 0.722920 SUCCESS 108
110101000   58   74   70   60   58   57   52   67  6.876799 0.549982 SUCCESS 109
110101010   67   57   57   67   57   68   67   63  3.082355 0.929083 SUCCESS 110
110101100   77   67   61   71   72   65   66   70  5.529830 0.699733 SUCCESS 111
110110000   48   60   61   47   68   53   81   67 16.228819 0.039220 SUCCESS 112
110110010   56   70   61   66   62   51   55   72  6.956092 0.541377 SUCCESS 113
110110100   73   78   66   57   59   78   55   58 10.802052 0.213169 SUCCESS 114
110111000   61   55   63   69   62   50   81   60 10.030840 0.262868 SUCCESS 115
110111010   62   58   56   59   69   63   55   58  4.379830 0.821332 SUCCESS 116
110111100   66   60   65   63   60   65   64   67  0.774779 0.999310 SUCCESS 117
111000000   64   58   67   59   68   56   63   56  3.464173 0.901952 SUCCESS 118
111000010   74   62   77   58   70   67   71   51  9.253567 0.321359 SUCCESS 119
111000100   75   61   68   76   59   58   63   58  6.273769 0.616595 SUCCESS 120
111000110   66   68   66   79   75   50   81   64 13.836900 0.086117 SUCCESS 121
111001000   59   66   66   76   61   71   64   58  4.384375 0.820886 SUCCESS 122
111001010   54   55   59   60   44   63   63   56 11.089931 0.196655 SUCCESS 123
111001100   66   59   58   65   65   69   45   73  8.624274 0.374976 SUCCESS 124
111010000   53   67   69   58   69   69   71   76  7.024274 0.534016 SUCCESS 125
111010010   83   73   52   68   61   65   63   70 10.500537 0.231636 SUCCESS 126
111010100   67   63   70   64   60   56   63   74  3.671244 0.885501 SUCCESS 127
111010110   67   71   58   59   77   64   64   76  6.993971 0.537283 SUCCESS 128
111011000   60   57   60   53   69   58   70   64  4.821749 0.776447 SUCCESS 129
111011010   63   69   71   58   53   76   53   66  8.095486 0.424199 SUCCESS 130
111011100   70   60   76   79   72   57   81   57 14.113163 0.078863 SUCCESS 131
111100000   73   62   80   56   58   64   64   59  7.533365 0.480325 SUCCESS 132
111100010   71   62   72   67   60   64   61   57  3.233365 0.918870 SUCCESS 133
111100100   55   56   52   73   61   66   64   67  6.326294 0.610733 SUCCESS 134
111100110   69   68   76   69   61   64   52   70  6.457102 0.596170 SUCCESS 135
111101000   52   67   63   63   68   64   71   74  5.176799 0.738523 SUCCESS 136
111101010   66   75   67   70   73   64   71   67  5.014678 0.756006 SUCCESS 137
111101100   61   46   67   56   63   62   62   64  6.691446 0.570259 SUCCESS 138
111101110   70   59   80   78   66   61   75   52 12.798516 0.118973 SUCCESS 139
111110000   85   64   76   61   57   57   54   53 14.753062 0.064129 SUCCESS 140
111110010   64   64   52   70   55   72   69   78  8.830335 0.356810 SUCCESS 141
111110100   65   77   55   52   74   66   54   70 10.263163 0.247039 SUCCESS 142
111110110   59   63   71   52   76   70   61   63  6.611648 0.579052 SUCCESS 143
111111000   79   62   70   66   74   53   59   59  8.732355 0.365375 SUCCESS 144
111111010   77   82   57   58   69   59   56   69 11.595486 0.170185 SUCCESS 145
111111100   69   60   66   75   75   64   69   63  5.073264 0.749718 SUCCESS 146
111111110   77   75   60   72   75   64   74   67  9.723264 0.284989 SUCCESS 147

